Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,TotalSlope,NightSki,TotalLifts,LiftCapacity
La Norma,France,2750,1350,29,65,No,13,13290
Pal-​Arinsal-La Massana-Vallnord-,Andorra,1550,1230,37,63,No,31,37400
Arabba,Italy,2478,1602,49,62,No,23,43973
Wildkogel-Neukirchen-​Bramberg,Austria,2150,820,44,62,Yes,24,27388
Hintertux Glacier,Austria,3250,1500,52,60,No,22,38852
Disentis 3000,Switzerland,2833,1227,49,60,No,13,10990
Belalp-Blatten,Switzerland,3118,1322,49,60,No,13,13640
San Martino di Castrozza,Italy,2357,1404,44,60,Yes,24,29859
Meiringen-Hasliberg,Switzerland,1055,600,50,60,Yes,15,16381
Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,Switzerland,2262,900,52,60,Yes,25,19956
Alpe di Siusi-Seiser Alm-,Italy,1669,1000,54,60,No,27,35624
Le Lioran,France,1850,1160,31,60,Yes,22,25195
Saint Luc-​Chandolin-Anniviers-,Switzerland,3025,1655,47,60,No,15,10350
Les Karellis,France,2520,1600,27,60,No,16,17452
Peyragudes,France,2400,1600,40,60,No,17,22791
Leysin,Switzerland,2205,1250,45,60,No,16,12980
Ponte di Legno-Passo ​Tonale-​Presena Glacier-​Temù-Pontedilegno-Tonale-,Italy,3016,1121,42,59,Yes,30,49825
Eggli-​La Videmanette-Gstaad-​Saanen-​Rougemont,Switzerland,2151,992,54,58,No,17,15363
Anzère,Switzerland,2420,1500,46,58,No,14,12462
Borovets,Bulgaria,2560,1300,28,58,Yes,14,15800
Font-Romeu-​Bolquère Pyrénées 2000,France,2213,1650,38,58,No,24,27378
Oppdal,Norway,1300,585,44,56,No,1,0
Brévent-​Flégère-Chamonix-,France,2525,1030,51,56,No,19,26734
Les Houches-​Saint-Gervais-Prarion-​Bellevue-Chamonix-,France,1000,584,43,55,No,16,19859
Ylläs,Finland,718,200,42,55,Yes,29,28284
Belvedere-​Col Rodella-​Ciampac-​Buffaure-Canazei-​Campitello-​Alba-​Pozza di Fassa,Italy,2428,1320,48,55,Yes,39,56216
