song_name,album_name,track_number,popularity,danceability,energy,loudness,mode,instrumentalness,valence,tempo
Circumstances,Hemispheres (40th Anniversary),2,20,0.418,0.728,-11.514,1,1.16e-05,0.646,125.253
The Trees,Hemispheres (40th Anniversary),3,23,0.445,0.615,-13.585,1,0.0182,0.321,136.57
La Villa Strangiato,Hemispheres (40th Anniversary),4,24,0.356,0.51,-14.068,1,0.62,0.15,142.478
"A Passage To Bangkok - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),1,17,0.248,0.73,-11.58,1,0.41,0.503,94.055
"Xanadu - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),2,16,0.292,0.511,-11.732,1,0.457,0.198,133.533
"The Trees - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),3,14,0.301,0.579,-14.662,1,0.201,0.441,132.366
"Cygnus X-1: Book II Hemispheres - The Sphere (A Kind Of Dream) - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),4,18,0.425,0.128,-17.414,1,0.0,0.453,129.747
"Closer To The Heart - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),5,14,0.312,0.634,-12.787,1,0.0519,0.443,138.078
"La Villa Strangiato - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),6,16,0.321,0.724,-12.491,1,0.78,0.148,135.071
"In The Mood - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),7,12,0.43,0.858,-11.039,1,0.00419,0.838,129.775
"Drum Solo - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),8,13,0.38,0.807,-15.86,0,0.698,0.0698,82.022
"Something For Nothing - Live At Pinkpop Festival, Netherlands/1979",Hemispheres (40th Anniversary),9,12,0.369,0.802,-9.988,1,0.0377,0.667,138.132
2112 - Live In Arizona/1978,Hemispheres (40th Anniversary),10,13,0.271,0.687,-12.25,0,0.0459,0.321,124.883
A Farewell To Kings,A Farewell To Kings (40th Anniversary Deluxe Edition),1,23,0.414,0.515,-12.739,1,0.000542,0.212,131.149
Xanadu,A Farewell To Kings (40th Anniversary Deluxe Edition),2,24,0.345,0.415,-13.621,1,0.00706,0.0497,126.565
Closer To The Heart,A Farewell To Kings (40th Anniversary Deluxe Edition),3,24,0.378,0.588,-16.937,1,4.46e-06,0.499,144.599
Cinderella Man,A Farewell To Kings (40th Anniversary Deluxe Edition),4,20,0.518,0.694,-13.991,1,5.76e-06,0.539,119.51
Madrigal,A Farewell To Kings (40th Anniversary Deluxe Edition),5,18,0.311,0.127,-19.993,1,0.000441,0.414,187.259
Cygnus X-1 - Book One - The Voyage,A Farewell To Kings (40th Anniversary Deluxe Edition),6,19,0.303,0.498,-13.589,1,0.0093,0.0686,83.502
"Bastille Day - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),1,16,0.269,0.742,-10.802,1,0.044,0.413,105.946
"Lakeside Park - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),2,14,0.31,0.593,-11.796,1,0.401,0.648,134.08
"By-Tor & The Snowdog - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),3,14,0.245,0.831,-10.221,0,0.636,0.422,154.382
"Xanadu - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),4,15,0.273,0.552,-11.271,1,0.2,0.29,123.446
"A Farewell To Kings - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),5,14,0.32,0.604,-12.572,1,0.19,0.306,129.249
"Something For Nothing - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),6,13,0.3,0.555,-11.456,1,0.2,0.65,138.848
"Cygnus X-1 - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),7,13,0.328,0.492,-13.584,1,0.0311,0.0847,115.445
"Anthem - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),8,13,0.237,0.788,-11.855,1,0.679,0.417,142.918
"Closer To The Heart - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),9,14,0.283,0.645,-12.205,1,0.00508,0.481,138.974
"2112 - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),10,13,0.27,0.544,-13.023,1,0.581,0.247,133.56
"Working Man - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),11,12,0.227,0.733,-11.079,1,0.638,0.447,144.988
"Fly By Night - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),12,12,0.268,0.719,-10.06,1,0.765,0.523,138.441
"In The Mood - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),13,11,0.362,0.81,-10.289,1,0.478,0.618,136.364
"Drum Solo - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),14,14,0.373,0.69,-15.436,1,0.851,0.288,159.662
"Cinderella Man - Live At Hammersmith Odeon - February 20, 1978",A Farewell To Kings (40th Anniversary Deluxe Edition),15,11,0.346,0.626,-12.964,1,0.000905,0.679,119.914
Xanadu,A Farewell To Kings (40th Anniversary Deluxe Edition),1,17,0.347,0.648,-8.527,1,0.000255,0.114,125.957
Closer To The Heart,A Farewell To Kings (40th Anniversary Deluxe Edition),2,16,0.46,0.708,-10.633,1,0.000582,0.454,142.1
Cinderella Man,A Farewell To Kings (40th Anniversary Deluxe Edition),3,11,0.436,0.716,-6.969,1,0.00285,0.646,121.482
Madrigal,A Farewell To Kings (40th Anniversary Deluxe Edition),4,11,0.14,0.382,-13.156,1,0.0138,0.108,96.907
Cygnus X-2 Eh,A Farewell To Kings (40th Anniversary Deluxe Edition),5,11,0.23,0.251,-23.264,0,0.883,0.0369,137.886
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,2112 (40 Anniversary),1,29,0.351,0.734,-9.26,1,0.000819,0.229,134.269
A Passage To Bangkok,2112 (40 Anniversary),2,26,0.247,0.761,-9.339,1,9.82e-06,0.566,197.124
The Twilight Zone,2112 (40 Anniversary),3,23,0.586,0.506,-11.573,0,0.0,0.768,114.684
Lessons,2112 (40 Anniversary),4,22,0.602,0.784,-9.367,1,0.000646,0.568,112.733
