song_name,album_name,track_number,popularity,danceability,energy,loudness,mode,instrumentalness,valence,tempo
Red Barchetta - Live in Cleveland,Time Machine 2011: Live In Cleveland,13,17,0.195,0.955,-3.169,1,0.00016,0.213,146.29
YYZ - Live in Cleveland,Time Machine 2011: Live In Cleveland,14,17,0.212,0.982,-3.779,1,0.788,0.166,139.644
Limelight - Live in Cleveland,Time Machine 2011: Live In Cleveland,15,17,0.395,0.954,-3.402,0,2.08e-05,0.618,129.9
The Camera Eye - Live in Cleveland,Time Machine 2011: Live In Cleveland,16,17,0.192,0.905,-3.911,1,0.00749,0.0785,160.98
Witch Hunt - Live in Cleveland,Time Machine 2011: Live In Cleveland,17,15,0.221,0.902,-3.882,1,0.000222,0.348,119.892
Vital Signs - Live in Cleveland,Time Machine 2011: Live In Cleveland,18,15,0.348,0.94,-3.772,0,2.49e-06,0.335,143.105
Caravan - Live in Cleveland,Time Machine 2011: Live In Cleveland,19,13,0.351,0.957,-3.66,1,5.15e-06,0.373,128.555
Moto Perpetuo - Live in Cleveland,Time Machine 2011: Live In Cleveland,20,14,0.314,0.935,-9.374,1,0.888,0.11,112.236
O'Malley's Break - Live in Cleveland,Time Machine 2011: Live In Cleveland,21,14,0.315,0.319,-14.874,1,0.986,0.307,136.822
Closer to the Heart - Live in Cleveland,Time Machine 2011: Live In Cleveland,22,15,0.263,0.892,-4.159,1,0.000418,0.384,136.179
2112 Overture / The Temples of Syrinx - Live in Cleveland,Time Machine 2011: Live In Cleveland,23,16,0.258,0.976,-4.531,0,0.00132,0.275,132.025
Far Cry - Live in Cleveland,Time Machine 2011: Live In Cleveland,24,13,0.261,0.977,-3.028,1,2.44e-05,0.321,127.381
La Villa Strangiato - Live in Cleveland,Time Machine 2011: Live In Cleveland,25,19,0.271,0.924,-5.674,1,0.684,0.308,139.595
Working Man - Live in Cleveland,Time Machine 2011: Live In Cleveland,26,20,0.232,0.978,-3.973,1,0.00229,0.412,140.285
Limelight - Snakes & Arrows Live Version,Snakes & Arrows Live,1,18,0.262,0.94,-3.478,0,0.0932,0.536,124.586
Digital Man - Snakes & Arrows Live Version,Snakes & Arrows Live,2,17,0.15,0.973,-3.372,0,0.183,0.252,140.796
Entre Nous - Snakes & Arrows Live Version,Snakes & Arrows Live,3,17,0.265,0.857,-3.891,1,0.389,0.46,122.778
Mission - Snakes & Arrows Live Version,Snakes & Arrows Live,4,17,0.241,0.903,-3.535,1,0.0125,0.308,137.542
Freewill - Snakes & Arrows Live Version,Snakes & Arrows Live,5,16,0.165,0.967,-3.489,1,0.174,0.428,145.408
The Main Monkey Business - Snakes & Arrows Live Version,Snakes & Arrows Live,6,15,0.144,0.959,-3.999,0,0.842,0.438,161.934
The Larger Bowl - Snakes & Arrows Live Version,Snakes & Arrows Live,7,14,0.355,0.884,-4.064,0,1.07e-06,0.495,124.41
Secret Touch - Snakes & Arrows Live Version,Snakes & Arrows Live,8,15,0.229,0.942,-3.843,1,0.0197,0.201,130.725
Circumstances - Snakes & Arrows Live Version,Snakes & Arrows Live,9,15,0.233,0.914,-4.019,1,0.0166,0.341,122.648
Between the Wheels - Snakes & Arrows Live Version,Snakes & Arrows Live,10,15,0.25,0.909,-3.355,1,0.0463,0.144,135.727
Dreamline - Snakes & Arrows Live Version,Snakes & Arrows Live,11,13,0.249,0.931,-3.284,1,0.311,0.382,143.627
Far Cry - Snakes & Arrows Live Version,Snakes & Arrows Live,12,15,0.304,0.974,-3.349,1,0.00192,0.416,125.973
Workin' Them Angels - Snakes & Arrows Live Version,Snakes & Arrows Live,13,13,0.153,0.908,-4.041,1,0.00214,0.326,88.887
Armor and Sword - Snakes & Arrows Live Version,Snakes & Arrows Live,14,13,0.337,0.927,-3.877,0,0.000435,0.373,102.448
Spindrift - Snakes & Arrows Live Version,Snakes & Arrows Live,15,12,0.29,0.901,-4.451,1,0.00437,0.0933,108.585
The Way the Wind Blows - Snakes & Arrows Live Version,Snakes & Arrows Live,16,11,0.139,0.914,-4.461,1,0.0256,0.423,179.962
Subdivisions - Snakes & Arrows Live Version,Snakes & Arrows Live,17,15,0.349,0.934,-4.477,0,0.109,0.261,130.167
Natural Science - Snakes & Arrows Live Version,Snakes & Arrows Live,18,14,0.174,0.881,-4.338,1,0.054,0.19,157.626
Witch Hunt - Snakes & Arrows Live Version,Snakes & Arrows Live,19,12,0.217,0.876,-4.582,1,0.234,0.456,119.196
Malignant Narcissism (De Slagwerker) - Snakes & Arrows Live Version,Snakes & Arrows Live,20,15,0.405,0.951,-7.458,0,0.666,0.136,107.605
Hope - Snakes & Arrows Live Version,Snakes & Arrows Live,21,12,0.21,0.608,-13.083,1,0.966,0.201,151.296
Distant Early Warning - Snakes & Arrows Live Version,Snakes & Arrows Live,22,12,0.244,0.969,-3.55,1,0.2,0.536,146.854
The Spirit of Radio - Snakes & Arrows Live Version,Snakes & Arrows Live,23,14,0.266,0.972,-4.285,1,0.0146,0.443,137.305
Tom Sawyer - Snakes & Arrows Live Version,Snakes & Arrows Live,24,14,0.182,0.965,-4.593,1,0.00901,0.259,83.569
One Little Victory - Snakes & Arrows Live Version,Snakes & Arrows Live,25,11,0.268,0.978,-4.592,1,0.00744,0.358,129.747
A Passage to Bangkok - Snakes & Arrows Live Version,Snakes & Arrows Live,26,13,0.118,0.963,-4.048,1,0.000681,0.291,186.008
YYZ - Snakes & Arrows Live Version,Snakes & Arrows Live,27,12,0.303,0.98,-4.658,1,0.738,0.287,133.867
Far Cry,Snakes & Arrows,1,35,0.546,0.919,-4.244,1,2.03e-06,0.704,124.989
Armor and Sword,Snakes & Arrows,2,28,0.501,0.89,-5.027,0,0.000169,0.523,102.012
Workin' Them Angels,Snakes & Arrows,3,29,0.424,0.939,-4.866,1,2.09e-05,0.545,90.023
The Larger Bowl,Snakes & Arrows,4,26,0.547,0.884,-5.01,0,1.1e-06,0.569,125.095
Spindrift,Snakes & Arrows,5,25,0.455,0.855,-5.777,1,3.28e-05,0.0803,110.044
The Main Monkey Business - Instrumental,Snakes & Arrows,6,28,0.448,0.92,-3.799,0,0.804,0.602,82.514
The Way the Wind Blows,Snakes & Arrows,7,24,0.357,0.873,-6.17,1,9.94e-06,0.488,179.916
Hope - Instrumental,Snakes & Arrows,8,27,0.276,0.366,-13.184,1,0.0591,0.413,164.026
Faithless,Snakes & Arrows,9,25,0.373,0.833,-4.122,1,2.59e-06,0.448,129.57
Bravest Face,Snakes & Arrows,10,24,0.588,0.771,-4.857,0,0.0,0.426,115.009
Good News First,Snakes & Arrows,11,22,0.523,0.905,-5.204,1,3.06e-05,0.531,109.926
Malignant Narcissism - Instrumental,Snakes & Arrows,12,33,0.442,0.898,-5.941,1,0.657,0.555,112.089
We Hold On,Snakes & Arrows,13,23,0.498,0.905,-5.42,0,1.78e-06,0.78,125.016
Intro - Grace Under Pressure - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),1,15,0.165,0.974,-8.196,0,0.948,0.209,128.399
The Spirit Of Radio - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),2,16,0.2,0.951,-4.715,1,0.141,0.399,139.51
The Enemy Within - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),3,19,0.364,0.959,-4.808,0,0.000431,0.429,145.772
The Weapon - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),4,18,0.347,0.949,-5.0,1,0.000498,0.218,116.775
Witch Hunt - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),5,17,0.24,0.91,-4.671,0,0.107,0.314,124.372
New World Man - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),6,16,0.186,0.937,-4.756,1,0.0408,0.514,159.615
Distant Early Warning - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),7,17,0.261,0.96,-4.963,0,0.0138,0.252,148.682
"Red Sector ""A"" - Live - Grace Under Pressure Tour",Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),8,18,0.422,0.921,-5.879,0,0.053,0.341,114.144
Closer To The Heart - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),9,15,0.215,0.889,-5.523,1,0.125,0.505,149.635
Medley: YYZ / Temples Of Syrinx / Tom Sawyer - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),10,16,0.2,0.949,-5.074,1,0.048,0.224,144.581
Vital Signs - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),11,15,0.396,0.952,-4.694,1,0.00261,0.423,145.69
Medley: Finding My Way / In The Mood - Live - Grace Under Pressure Tour,Grace Under Pressure Tour Live (Live - Grace Under Pressure Tour),12,13,0.145,0.988,-4.043,1,0.293,0.179,146.147
"R30 Overture (Finding My Way, Bastille Day, Anthem, a Passage to Bangkok, Cygnus X1, Hemispheres)",R30,1,26,0.16,0.972,-3.929,1,0.792,0.319,96.749
The Spirit of Radio - R30 Live Version,R30,2,20,0.174,0.985,-2.311,1,0.0213,0.434,136.471
Force Ten - R30 Live Version,R30,3,18,0.182,0.97,-2.96,1,0.203,0.27,169.619
Animate - R30 Live Version,R30,4,19,0.203,0.965,-2.664,0,0.0606,0.369,112.859
Subdivisions - R30 Live Version,R30,5,19,0.263,0.944,-2.951,0,0.00604,0.332,133.62
Earthshine - R30 Live Version,R30,6,17,0.287,0.949,-2.527,1,0.0193,0.265,129.946
Red Barchetta - R30 Live Version,R30,7,18,0.231,0.96,-2.935,1,0.0146,0.215,140.456
Roll the Bones - R30 Live Version,R30,8,17,0.222,0.974,-2.722,1,0.412,0.234,105.699
The Seeker - R30 Live Version,R30,9,16,0.152,0.959,-2.425,1,0.000199,0.293,173.299
Tom Sawyer - R30 Live Version,R30,10,17,0.281,0.953,-3.033,1,0.00274,0.289,86.69
Dreamline - R30 Live Version,R30,11,16,0.3,0.961,-2.813,1,0.444,0.485,149.03
Between the Wheels - R30 Live Version,R30,12,17,0.238,0.922,-2.646,0,0.0295,0.278,138.929
Mystic Rhythms - R30 Live Version,R30,13,16,0.409,0.938,-2.848,0,0.000707,0.219,118.716
Der Trommler - R30 Live Version,R30,14,19,0.403,0.957,-6.993,0,0.827,0.477,130.728
Resist - R30 Live Version,R30,15,15,0.431,0.39,-6.907,1,1.96e-06,0.217,105.24
Heart Full of Soul - R30 Live Version,R30,16,13,0.391,0.837,-4.663,0,1.43e-05,0.421,132.956
2112 - R30 Live Version,R30,17,14,0.162,0.972,-3.271,1,0.411,0.249,135.68
Xanadu - R30 Live Version,R30,18,16,0.183,0.914,-2.659,1,0.289,0.249,132.545
Working Man - R30 Live Version,R30,19,14,0.148,0.983,-2.939,1,0.0164,0.338,70.713
Summertime Blues - R30 Live Version,R30,20,12,0.194,0.945,-3.077,1,0.000639,0.568,126.696
Crossroads - R30 Live Version,R30,21,13,0.284,0.989,-2.049,0,0.0208,0.418,137.505
Limelight - R30 Live Version,R30,22,16,0.304,0.981,-2.431,1,0.0407,0.357,130.706
Summertime Blues,Feedback,1,28,0.284,0.795,-4.986,1,9.91e-05,0.628,124.321
Heart Full of Soul,Feedback,2,26,0.411,0.755,-4.984,0,0.00185,0.645,128.36
For What It's Worth,Feedback,3,22,0.512,0.767,-6.08,1,0.0577,0.414,99.043
The Seeker,Feedback,4,29,0.37,0.859,-3.912,1,0.0,0.565,86.74
Mr. Soul,Feedback,5,21,0.534,0.835,-4.419,1,0.00463,0.482,113.955
Seven and Seven Is,Feedback,6,17,0.149,0.917,-3.455,1,0.000576,0.446,150.163
Shapes of Things,Feedback,7,18,0.324,0.862,-4.503,1,4.44e-05,0.484,128.717
Crossroads,Feedback,8,26,0.365,0.925,-3.912,1,0.00361,0.673,133.112
Tom Sawyer - Rio Live,Rush in Rio (Live),1,27,0.22,0.926,-7.002,1,0.714,0.199,85.569
Distant Early Warning - Rio Live,Rush in Rio (Live),2,22,0.155,0.934,-6.264,1,0.923,0.447,147.164
New World Man - Rio Live,Rush in Rio (Live),3,21,0.265,0.95,-6.837,1,0.841,0.558,79.636
Roll the Bones - Rio Live,Rush in Rio (Live),4,22,0.376,0.963,-6.297,0,0.825,0.243,110.082
Earthshine - Rio Live,Rush in Rio (Live),5,20,0.322,0.956,-6.371,0,0.305,0.411,130.055
YYZ - Rio Live,Rush in Rio (Live),6,25,0.273,0.985,-6.019,0,0.733,0.143,137.14
The Pass - Rio Live,Rush in Rio (Live),7,21,0.407,0.901,-7.182,1,0.129,0.664,116.186
Bravado - Rio Live,Rush in Rio (Live),8,22,0.291,0.931,-6.076,1,0.841,0.299,112.519
The Big Money - Rio Live,Rush in Rio (Live),9,19,0.172,0.951,-6.691,1,0.829,0.346,143.679
Trees - Rio Live,Rush in Rio (Live),10,20,0.19,0.848,-7.814,1,0.612,0.228,140.054
Free Will - Rio Live,Rush in Rio (Live),11,21,0.158,0.961,-6.872,1,0.657,0.295,150.728
Closer to the Heart - Rio Live,Rush in Rio (Live),12,21,0.192,0.906,-6.617,1,0.373,0.285,142.512
Natural Science - Rio Live,Rush in Rio (Live),13,19,0.151,0.924,-7.199,0,0.493,0.193,159.725
One Little Victory - Rio Live,Rush in Rio (Live),14,18,0.2,0.948,-6.387,1,0.836,0.447,133.182
Driven - Rio Live,Rush in Rio (Live),15,18,0.167,0.84,-7.78,1,0.715,0.315,99.001
Ghost Rider - Rio Live,Rush in Rio (Live),16,18,0.317,0.935,-6.871,0,0.15,0.38,133.027
Secret Touch - Rio Live,Rush in Rio (Live),17,16,0.266,0.888,-7.658,1,0.734,0.256,133.102
Dreamline - Rio Live,Rush in Rio (Live),18,17,0.319,0.9,-6.435,0,0.582,0.455,144.834
Red Sector A - Rio Live,Rush in Rio (Live),19,18,0.352,0.791,-7.564,1,0.225,0.171,115.872
Leave That Thing Alone - Rio Live,Rush in Rio (Live),20,19,0.45,0.933,-6.97,0,0.866,0.559,119.952
O Baterista - Rio Live,Rush in Rio (Live),21,21,0.324,0.958,-10.091,0,0.853,0.169,145.189
Resist - Acoustic; Rio Live,Rush in Rio (Live),22,19,0.352,0.456,-11.932,1,0.000322,0.187,99.552
2112 - Rio Live,Rush in Rio (Live),23,18,0.158,0.936,-6.869,0,0.789,0.317,134.005
Limelight - Rio Live,Rush in Rio (Live),24,20,0.314,0.917,-7.044,1,0.841,0.78,130.826
La Villa Strangiato - Rio Live,Rush in Rio (Live),25,20,0.235,0.796,-8.802,1,0.806,0.0782,135.421
Spirit of Radio - Rio Live,Rush in Rio (Live),26,20,0.171,0.942,-6.544,1,0.945,0.307,138.275
By-Tor and the Snowdog - Rio Live,Rush in Rio (Live),27,15,0.23,0.948,-6.378,1,0.864,0.359,77.359
Cygnus X-1 - Rio Live,Rush in Rio (Live),28,16,0.211,0.764,-8.013,0,0.866,0.108,125.354
Working Man - Rio Live,Rush in Rio (Live),29,17,0.0639,0.943,-6.448,1,0.862,0.311,67.702
Between Sun and Moon - Rio Live,Rush in Rio (Live),30,14,0.44,0.904,-5.51,1,7.96e-05,0.413,121.446
Vital Signs - Rio Live,Rush in Rio (Live),31,16,0.342,0.933,-5.019,1,7.72e-05,0.391,141.479
One Little Victory - 2013 Remix,Vapor Trails (2013 Remix),1,36,0.493,0.938,-5.975,0,0.0118,0.623,130.039
Ceiling Unlimited - 2013 Remix,Vapor Trails (2013 Remix),2,25,0.456,0.952,-6.566,1,0.000448,0.741,139.939
Ghost Rider - 2013 Remix,Vapor Trails (2013 Remix),3,28,0.49,0.894,-6.657,0,0.0157,0.54,130.017
Peaceable Kingdom - 2013 Remix,Vapor Trails (2013 Remix),4,24,0.482,0.882,-7.731,0,5.9e-05,0.612,89.97
The Stars Look Down - 2013 Remix,Vapor Trails (2013 Remix),5,22,0.508,0.863,-7.701,1,0.0113,0.643,131.986
How It Is - 2013 Remix,Vapor Trails (2013 Remix),6,24,0.439,0.829,-6.123,1,0.000382,0.46,139.997
Vapor Trail - 2013 Remix,Vapor Trails (2013 Remix),7,26,0.462,0.876,-8.292,1,0.000289,0.387,110.947
Secret Touch - 2013 Remix,Vapor Trails (2013 Remix),8,26,0.399,0.846,-6.358,1,0.792,0.514,129.975
Earthshine - 2013 Remix,Vapor Trails (2013 Remix),9,27,0.421,0.827,-6.414,0,0.0552,0.529,129.889
Sweet Miracle - 2013 Remix,Vapor Trails (2013 Remix),10,23,0.462,0.757,-7.036,0,0.000407,0.584,99.988
Nocturne - 2013 Remix,Vapor Trails (2013 Remix),11,22,0.497,0.753,-8.071,0,0.00757,0.652,140.03
"Freeze Part IV of ""Fear"" - 2013 Remix",Vapor Trails (2013 Remix),12,22,0.536,0.923,-6.335,1,0.000126,0.447,140.018
Out of the Cradle - 2013 Remix,Vapor Trails (2013 Remix),13,21,0.428,0.86,-7.593,1,0.0234,0.793,78.055
Dreamline - Live,Different Stages,1,20,0.267,0.957,-6.519,1,0.0183,0.187,147.897
Limelight - Live,Different Stages,2,21,0.326,0.952,-7.332,1,0.002,0.321,131.009
Driven - Live,Different Stages,3,19,0.285,0.909,-8.165,0,0.333,0.361,98.364
Bravado - Live,Different Stages,4,20,0.337,0.937,-7.231,1,0.654,0.2,112.898
Animate - Live,Different Stages,5,19,0.247,0.947,-7.83,0,0.123,0.144,111.089
Show Don't Tell - Live,Different Stages,6,18,0.365,0.908,-6.43,1,0.0179,0.295,115.896
The Trees - Live,Different Stages,7,18,0.285,0.894,-8.207,1,0.36,0.172,135.489
Nobody's Hero - Live,Different Stages,8,18,0.216,0.895,-7.166,0,0.000196,0.377,98.096
Closer to the Heart - Live,Different Stages,9,20,0.239,0.962,-7.545,1,0.0403,0.174,143.356
2112 (Overture) - Live,Different Stages,10,18,0.248,0.93,-8.833,1,0.552,0.104,131.975
2112 (Temples of Syrinx) - Live,Different Stages,11,18,0.317,0.959,-7.736,0,0.000144,0.267,131.815
2112 (Discovery) - Live,Different Stages,12,17,0.338,0.273,-14.393,1,0.0478,0.27,64.781
2112 (Presentation) - Live,Different Stages,13,17,0.149,0.959,-7.268,1,0.0275,0.254,201.665
2112 (Oracle: The Dream) - Live,Different Stages,14,16,0.404,0.755,-7.949,1,0.0,0.228,119.418
2112 (Sililoquy) - Live,Different Stages,15,17,0.254,0.81,-8.488,1,0.0311,0.102,93.443
2112 (Grand Finale) - Live,Different Stages,16,17,0.172,0.991,-8.451,1,0.854,0.0376,136.808
Test for Echo - Live,Different Stages,1,17,0.313,0.953,-6.319,0,0.00496,0.211,131.388
Analog Kid - Live,Different Stages,2,18,0.228,0.958,-6.466,0,0.0105,0.214,94.353
Freewill - Live,Different Stages,3,16,0.185,0.981,-6.089,1,0.00336,0.139,148.583
Roll the Bones - Live,Different Stages,4,17,0.531,0.918,-7.672,1,0.218,0.279,110.325
Stick It Out - Live,Different Stages,5,14,0.447,0.967,-7.34,1,0.00014,0.159,124.548
Resist - Live,Different Stages,6,15,0.401,0.826,-7.795,1,0.00849,0.329,120.676
Leave That Thing Alone - Live,Different Stages,7,16,0.446,0.948,-7.124,0,0.861,0.461,120.498
The Rhythm Method - Live,Different Stages,8,18,0.386,0.908,-10.479,1,0.798,0.167,133.564
Natural Science - Live,Different Stages,9,17,0.152,0.898,-7.325,1,0.0234,0.164,166.322
The Spirit of Radio - Live,Different Stages,10,16,0.22,0.975,-7.188,1,0.00881,0.226,137.284
Tom Sawyer - Live,Different Stages,11,17,0.141,0.931,-7.257,1,0.00833,0.295,172.298
YYZ - Live,Different Stages,12,15,0.213,0.988,-7.322,1,0.841,0.0911,139.308
Bastille Day - Live,Different Stages,1,14,0.336,0.939,-6.051,1,0.081,0.636,105.344
By-Tor and the Snow Dog - Live,Different Stages,2,13,0.274,0.958,-6.081,1,0.602,0.38,77.92
Xanadu - Live,Different Stages,3,15,0.285,0.698,-7.362,1,0.17,0.222,123.678
A Farewell to Kings - Live,Different Stages,4,13,0.307,0.867,-7.043,1,0.00612,0.239,124.724
Something for Nothing - Live,Different Stages,5,12,0.282,0.839,-5.724,1,0.0176,0.564,136.053
Cygnus X-1 - Live,Different Stages,6,13,0.232,0.733,-7.605,1,0.259,0.121,80.954
Anthem - Live,Different Stages,7,13,0.171,0.932,-6.058,0,0.148,0.401,60.802
Working Man - Live,Different Stages,8,13,0.254,0.954,-5.809,0,0.42,0.426,145.533
Fly by Night - Live,Different Stages,9,15,0.254,0.959,-5.567,1,0.822,0.407,137.974
In the Mood - Live,Different Stages,10,11,0.337,0.947,-5.729,1,0.0723,0.531,136.003
Cinderella - Live,Different Stages,11,12,0.284,0.951,-6.425,1,0.000372,0.524,119.856
Test for Echo - 2004 Remaster,Test for Echo (2004 Remaster),1,34,0.541,0.851,-9.239,0,0.0181,0.564,130.209
Driven - 2004 Remaster,Test for Echo (2004 Remaster),2,34,0.33,0.759,-7.62,1,0.00218,0.53,99.956
Half the World - 2004 Remaster,Test for Echo (2004 Remaster),3,29,0.477,0.874,-5.432,1,0.102,0.688,95.056
The Color of Right - 2004 Remaster,Test for Echo (2004 Remaster),4,26,0.519,0.889,-5.504,1,0.00663,0.309,120.076
Time and Motion - 2004 Remaster,Test for Echo (2004 Remaster),5,25,0.515,0.83,-6.185,1,0.073,0.624,136.1
Totem - 2004 Remaster,Test for Echo (2004 Remaster),6,25,0.573,0.855,-6.0,0,0.00683,0.512,120.027
Dog Years - 2004 Remaster,Test for Echo (2004 Remaster),7,24,0.504,0.911,-6.159,1,0.00736,0.53,118.009
Virtuality - 2004 Remaster,Test for Echo (2004 Remaster),8,25,0.528,0.907,-5.683,1,0.114,0.544,120.05
Resist - 2004 Remaster,Test for Echo (2004 Remaster),9,28,0.615,0.784,-6.945,1,0.0106,0.693,119.989
Limbo - 2004 Remaster,Test for Echo (2004 Remaster),10,24,0.508,0.914,-6.127,0,0.784,0.443,120.184
Carve Away the Stone - 2004 Remaster,Test for Echo (2004 Remaster),11,23,0.546,0.908,-5.029,0,0.0259,0.734,125.075
Animate - 2004 Remaster,Counterparts (2004 Remaster),1,43,0.504,0.937,-7.859,1,0.0587,0.435,115.924
Stick It Out - 2004 Remaster,Counterparts (2004 Remaster),2,33,0.535,0.946,-5.17,1,2.85e-05,0.271,119.971
Cut to the Chase - 2004 Remaster,Counterparts (2004 Remaster),3,31,0.493,0.968,-5.638,1,0.0364,0.33,110.022
Nobody's Hero - 2004 Remaster,Counterparts (2004 Remaster),4,41,0.261,0.795,-6.378,1,5.1e-05,0.488,99.762
Between Sun & Moon - 2004 Remaster,Counterparts (2004 Remaster),5,29,0.511,0.931,-5.816,1,0.00242,0.524,122.001
Alien Shore - 2004 Remaster,Counterparts (2004 Remaster),6,28,0.512,0.941,-6.639,1,0.00412,0.67,131.983
The Speed of Love - 2004 Remaster,Counterparts (2004 Remaster),7,27,0.526,0.941,-5.91,1,0.00224,0.798,115.042
Double Agent - 2004 Remaster,Counterparts (2004 Remaster),8,28,0.522,0.947,-6.951,1,0.0245,0.526,119.948
Leave That Thing Alone - 2004 Remaster,Counterparts (2004 Remaster),9,40,0.489,0.954,-7.025,0,0.866,0.674,119.976
Cold Fire - 2004 Remaster,Counterparts (2004 Remaster),10,38,0.485,0.939,-7.398,0,0.0197,0.587,143.964
Everyday Glory - 2004 Remaster,Counterparts (2004 Remaster),11,28,0.586,0.829,-6.565,1,4.5e-05,0.668,119.994
Dreamline - 2004 Remaster,Roll the Bones (2004 Remaster),1,40,0.628,0.884,-9.174,1,0.0156,0.59,146.429
Bravado - 2004 Remaster,Roll the Bones (2004 Remaster),2,44,0.604,0.793,-9.438,1,0.0125,0.58,111.19
Roll the Bones - 2004 Remaster,Roll the Bones (2004 Remaster),3,42,0.659,0.816,-9.678,1,0.0816,0.668,111.195
Face Up - 2004 Remaster,Roll the Bones (2004 Remaster),4,30,0.571,0.935,-8.511,1,0.0165,0.583,151.467
Where's My Thing - 2004 Remaster,Roll the Bones (2004 Remaster),5,31,0.457,0.896,-10.762,1,0.705,0.625,131.41
Big Wheel - 2004 Remaster,Roll the Bones (2004 Remaster),6,29,0.585,0.888,-9.801,1,0.303,0.732,121.251
Heresy - 2004 Remaster,Roll the Bones (2004 Remaster),7,28,0.598,0.783,-11.579,1,0.135,0.583,113.14
Ghost of a Chance - 2004 Remaster,Roll the Bones (2004 Remaster),8,33,0.632,0.633,-10.646,0,0.0523,0.685,121.192
Neurotica - 2004 Remaster,Roll the Bones (2004 Remaster),9,29,0.597,0.876,-9.543,1,0.0094,0.73,121.205
You Bet Your Life - 2004 Remaster,Roll the Bones (2004 Remaster),10,27,0.553,0.913,-8.811,1,0.0392,0.812,131.379
Show Don't Tell - 2004 Remaster,Presto,1,35,0.586,0.785,-10.614,1,0.0861,0.543,115.788
Chain Lightning - 2004 Remaster,Presto,2,30,0.662,0.854,-10.233,0,0.0206,0.52,127.737
The Pass - 2004 Remaster,Presto,3,40,0.706,0.611,-10.699,1,0.0211,0.798,114.732
War Paint - 2004 Remaster,Presto,4,29,0.626,0.735,-10.425,1,0.00261,0.606,119.77
Scars - 2004 Remaster,Presto,5,28,0.657,0.739,-11.847,0,0.0193,0.796,127.776
Presto - 2004 Remaster,Presto,6,32,0.696,0.562,-11.229,1,0.00626,0.538,111.79
Superconductor - 2004 Remaster,Presto,7,30,0.504,0.864,-10.257,1,0.0061,0.783,159.625
Anagram - 2004 Remaster,Presto,8,28,0.658,0.73,-11.092,1,0.0556,0.724,125.79
Red Tide - 2004 Remaster,Presto,9,28,0.56,0.798,-10.811,0,0.294,0.811,147.783
Hand Over Fist - 2004 Remaster,Presto,10,27,0.668,0.666,-10.866,1,0.119,0.543,119.751
Available Light - 2004 Remaster,Presto,11,29,0.69,0.631,-10.857,0,0.0692,0.761,129.804
Intro - Live,A Show Of Hands,1,19,0.251,0.871,-17.224,1,0.966,0.205,120.097
The Big Money - Live In Birmingham England/1988,A Show Of Hands,2,23,0.288,0.974,-7.452,1,0.517,0.247,144.809
Subdivisions - Live In Birmingham England/1988,A Show Of Hands,3,25,0.365,0.92,-7.985,0,0.276,0.463,139.633
Marathon - Live In Birmingham England/1988,A Show Of Hands,4,24,0.225,0.889,-7.257,1,0.188,0.465,154.706
Turn The Page - Live In New Orleans/1988,A Show Of Hands,5,21,0.199,0.954,-7.278,1,0.0842,0.512,165.316
"Manhattan Project - Live In Phoenix, Arizona/1988",A Show Of Hands,6,22,0.227,0.917,-7.673,1,0.128,0.325,161.945
"Mission - Live In San Diego, California/1988",A Show Of Hands,7,22,0.28,0.831,-9.032,1,0.204,0.389,141.446
Distant Early Warning - Live In Birmingham England/1988,A Show Of Hands,8,21,0.356,0.919,-8.361,1,0.31,0.536,146.692
"Mystic Rhythms - Live At The Meadowlands, New Jersey/1988",A Show Of Hands,9,21,0.446,0.86,-7.648,1,0.0458,0.433,125.781
"Witch Hunt (Part III Of Fear) - Live At The Meadowlands, New Jersey/1986",A Show Of Hands,10,20,0.278,0.86,-8.431,0,0.383,0.377,127.997
The Rhythm Method (Drum Solo) - Live In Birmingham England/1988,A Show Of Hands,11,21,0.316,0.921,-10.701,0,0.902,0.116,147.223
Force Ten - Live In Phoenix Arizona/1988,A Show Of Hands,12,20,0.255,0.959,-6.816,1,0.362,0.163,171.352
Time Stand Still - Live In Birmingham England/1988,A Show Of Hands,13,24,0.513,0.887,-9.627,1,0.0338,0.534,138.058
Red Sector A - Live In Birmingham England/1988,A Show Of Hands,14,21,0.508,0.864,-9.791,0,0.0207,0.226,116.177
Closer To The Heart - Live In Birmingham England/1988,A Show Of Hands,15,20,0.249,0.889,-9.336,1,0.126,0.363,153.62
Force Ten,Hold Your Fire,1,36,0.432,0.916,-7.367,1,0.0037,0.339,169.156
